"","X","sentence_id","id","sentence","nchar","doc_id","description","family_experience","treatment_prof","personal_experience","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","cluster_12","cluster_13","cluster_14","cluster_15","cluster_16","cluster_17","cluster_18","cluster_19","cluster_20","clusters"
"1",1,1,1,"Greg Anderson Narrator Amy Sullivan Interviewer May Duluth Minnesota Greg Anderson Amy Sullivan",95,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"2",2,1,2,"Dr. Thilo Beck Narrator Amy Sullivan Interviewer February Zurich Switzerland Thilo Beck Andrew Tuttle Amy Sullivan",114,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"3",3,2,1,"name Greg Anderson",18,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"4",4,2,2,"think put short much pragmatic approach",39,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"5",5,3,1,"Social Service Supervisor St. Louis County Public Health Human Services area Chemical Dependency Services",105,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"6",6,3,2,"Pragmatism view way harm reduction approach",43,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","TRUE","TRUE","","","TRUE","TRUE","","","","","","","","","","",",,,,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,"
"7",7,4,1,"employed St. Louis County years",31,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","TRUE","","","","","","","","TRUE","","","","","","","","",",,,TRUE,,,,,,,,TRUE,,,,,,,,"
"8",8,4,2,"ask useful best possible aim goal",33,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"9",9,5,1,"bachelor degree sociology Minnesota State Mankato",49,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"10",10,5,2,"think much therapeutic illusions fantasies common medication therapy",68,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"11",11,6,1,"master degree social work University Minnesota Duluth",53,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","TRUE","","","","TRUE","","","TRUE","","","","","","TRUE","TRUE","","",",,,TRUE,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,"
"12",12,6,2,"Focusing abstinence considering majority patients treating abstinence moment",76,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"13",13,7,1,"born extreme southeastern Minnesota",35,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","TRUE","","","","","","","TRUE","","",",,,,,,,,,,TRUE,,,,,,,TRUE,,"
"14",14,7,2,"respected",9,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"15",15,8,1,"grew farm Mable Minnesota mile south Winona",43,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","TRUE","","","","","","","","","","","","","","TRUE","","TRUE","",",,TRUE,,,,,,,,,,,,,,TRUE,,TRUE,"
"16",16,8,2,"mean",4,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"17",17,9,1,"high school graduated",21,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"18",18,9,2,"substance",9,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","","","","","","","TRUE","","","TRUE","","","","","","","TRUE","","","TRUE,,,,,,,TRUE,,,TRUE,,,,,,,TRUE,,"
"19",19,10,1,"already described college life",30,"Anderson_Greg","Social worker",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"20",20,10,2,"substances",10,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","","TRUE","TRUE","","TRUE","","","TRUE","TRUE","","","TRUE","TRUE","","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,TRUE,,TRUE,TRUE,TRUE"
"21",21,11,1,"born June",9,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"22",22,11,2,"abused substance alcohol",24,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","","","","","","TRUE","","","TRUE","","","","","","","TRUE","","","TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,,TRUE,,"
"23",23,12,1,"give permission record interview",32,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"24",24,12,2,"think problems alcohol therapy",30,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"25",25,13,2,"Historically based abstinence work well",39,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"26",26,14,1,"just say",8,"Anderson_Greg","Social worker",NA,TRUE,NA,"","TRUE","","","TRUE","","","","","TRUE","TRUE","","","TRUE","","","TRUE","TRUE","","",",TRUE,,,TRUE,,,,,TRUE,TRUE,,,TRUE,,,TRUE,TRUE,,"
"27",27,14,2,"successful",10,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"28",28,15,1,"bases",5,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
