"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","lived","happen","county","methadone","crisis","about","grade","didn_want","sick","sullivan","sister","degree","forward","stayed","minnesota","residential","said","twenty","able","drinking"
"2","room","stories","pretty","treatment","saintlouis_county","anybody","behind","weren","become","later","living","college","calls","went","basically","groups","phone","eight","learn","middle"
"3","surgery","knew","cocaine","programs","prevention","front","dollars","important","anymore","never","graduated","junior","looked","spent","service","raised","didn_know","falls","lives","weed"
"4","wound","trans","control","brain","training","wants","minutes","worse","bigger","married","older","mind","public","school","community","definitely","noah","greater","keep","smoking"
"5","friend","happened","early","suboxone","federal","must","looks","clock","gonna","found","recovery","city","haven","everything","running","paying","dick","understanding","better","whether"
"6","street","assessment","director","medication","type","dealers","again","take","woman","weeks","quickly","meth","hand","valhalla","university","group","give_permission","prescription","women","pills"
"7","ready","somewhere","grew","difference","dealing","feel","giving","doors","decision","months","legal","abuse","shot","came","funding","therapy","interview","fifteen","works","alcoholic"
"8","back","like_well","face","assisted","either","come_back","ride","bullshit","language","loved","development","trust","read","tough","project","attention","sorry","river","anon","whatever"
"9","moved_back","them","white","sixty","narcotics","past","minute","population","december","narrator","brothers","born","attorney","worried","throughout","kind_thing","called","substance_abuse","create","narcan"
"10","boys","crying","probably","absolutely","police","supportive","lunch","anything","decisions","interviewer","moved","high","shit","then","business","much","record","heroin","kinds","walking"
"11","whole","struggling","hennepin","extremely","seeing","terrible","five","imagine","difficult","pregnant","actively","alcohol_drug","teach","clean","longer","heard","telling","opiates","things","rather"
"12","insurance","though","medical","standpoint","position","somehow","somebody","over","hospital","2017","overdosed","center","turn","yeah","late","parents","name","amazing","helping","building"
"13","heart","rest","without","huge","worker","often","eighth","rent","problem","except","selling","towards","health","laughs","kicked","chicago","alex","seventeen","wanna","methamphetamine"
"14","apartment","decided","cannabis","ninety","rural","speak","tomorrow","morning","deal","baby","homes","team","call","ortega","situation","fairly","caught","fricken","cities","needles"
"15","getting","just_said","lucky","buprenorphine","states","families","message","passed","involved","dropped","years","deep","jail","round","south","mother","okay","client","trying","space"
"16","year_half","play","average","days","naloxone","hearing","prison","didn","make","gotten","house","stupid","experiences","thirty","ohio","support","energy","created","cancer","opioids"
"17","guess","going","monday","sober_house","wish","justice","send","conversation","interested","nine","half","sense","doesn","down","unit","patients","says","education","missed","primary"
"18","nothing","thing","asleep","options","direction","beer","kill","find","sell","couple","using","network","human","weird","housing","hear","tell","fentanyl","kept","doctors"
"19","leaving","believe","crack","fair","every","background","said_know","waiting","seen","three","ashley","mike","crazy","like_know","program","were","what","awareness","lack","open"
"20","came_back","based","research","addicts","members","dinner","sounds","rock","always","saintpaul","halfway","touch","realize","friends","order","level","this","alive","really_well","blood"
"21","november","sent","alone","many_people","services","normal","especially","doing","bringing","professionals","sisters","pretty_much","realized","live","known","world","calling","today","develop","gives"
"22","several","children","young","addiction","picture","start","pick","chance","really","drugs","side","best","making","four_years","superior","hanging","finally","willing","period","little_earth"
"23","like_said","else","october","straight","officer","everybody","right","ones","speaking","needle","started","fact","talk","florida","country","father","fuck","wisconsin","skills","listen"
"24","lost","never","look","changes","intent","soon","myself","think_just","parents","fine","first","matter","shame","campaign","step","mostly","long_time","clients","wrong","just_know"
"25","ended","quite","like","political","different","judge","hour","numbers","easy","ever","meeting","aren","wouldn","picked","eighties","staff","missing","career","basis","water"
"26","break","wanted","sitting","couldn","family","harm_reduction","thousand","ryan","just_going","park","case","stop","little","show","percent","disorder","tired","great","helped","mental"
"27","sleep","rehab","adult","addict","else","taking","come","jenna","facility","lots","jobs","child","well","home","nursing","thank","changed","things_like","relationships","leave"
"28","overdose","moment","eighteen","protect","enough","understand","made","would","lose","minnesota","almost","high_school","class","nice","fight","food","sure","hospitals","related","along"
"29","happening","depends","person","successful","social","system","hundred","person","sobriety","week","organization","enforcement","recently","hold","individuals","husband","asked","risk","folks","quit"
"30","died","stuff","syringe","july","state","trouble","comes","really","parent","wasn","smoked","partner","tried","high_school","model","talk","questions","years","issues","clinic"
