"","ID","paragraphs","nchar"
"1","doc 9","ga: name greg anderson. social service supervisor st. louis county public health human services area chemical dependency services. employed st. louis county twenty-four plus years. bachelor's degree sociology minnesota state mankato. master's degree social work university minnesota duluth. born extreme southeastern minnesota. grew farm outside mable, minnesota, forty miles south winona. went high_school, graduated there. already described college life. born june 1956. ",623
"2","doc 13","ga: cover bases. case attorney calls sometime. ",57
"3","doc 15","ga: two_years winona first, transferred mankato state. ",66
"4","doc 17","ga: neither mother father does. sister degrees sociology nursing. ",91
"5","doc 19","ga: absolutely. growing sixties, early seventies small, rural town basically lot industry. primary business industry farming. position really take doo-doo. allergies things. position carry family farm, real clear. sister eight years older i. gone went nursing school mankato state university. that. needed move on, person-oriented person. handled calculus meteorologist. went look mass communication journalism, news broadcasting. spent time there. realized handle egos present area work, slipped sociology. got ba degree spent three summers summer rec program director mable canton communities. strong love—my first love outside family baseball. spend lot time following working. kind that. ",1048
"6","doc 20","got twin cities. 1978 1987 got married moved worked nursing homes. short-time activity assistant, activity director, spent probably eight years social service director. basically coordinated admissions, discharged planning, addressing psychosocial needs nursing home residents nursing home.",376
"7","doc 21","that, met wife moved here. realized lot job opportunities just sociology degree, one first graduating class members of—the advanced generalist program—msw program—at university minnesota duluth. umd basically discontinued msw program, start new program going advanced generalist generalist practice standard basic social work advanced education. really enlightening experience me, really unique school two_years class twenty something individuals basically one worked gerontology. everybody else children/family services. two three individuals dealing chemical dependency, substance use disorder type things. interest time continued geriatric, elderly, assisting supporting individuals going aging process. able assist support families. aging process evolving process grieving age transition. transition lose certain skills and/or certain access stages life, able deal go next phase life. one gets older, currently am, even realization understanding witnessed experienced early years. ",1433
"8","doc 22","got school umd. done internship children family service, time st. louis county social services. able internship county nursing home. finished that. later hired child protection worker. commuted year half hibbing, minnesota. hundred forty-four mile trip day work. eighteen months first child born opportunity work state minnesota minnesota veteran's home silver bay just opened. spent year working admission coordination. lot relationship discharge [unclear]. basically kind last phase life veterans veterans' spouses, meantime program also looking adding alzheimer's dementia unit program. ",883
"9","doc 23","year. starting train staff looked opening additional forty beds unit alzheimer's group, able return duluth get job chris jenson county nursing home discharge planner chris jensen adding new role rehab unit. internship experience established nice relationships nursing home, happy bring board. spent two half years nursing home. came realization—i loved work—but duluth st. louis county social services going employer probably rest professional career. needed come government service center get established here. came 1995. spent four plus years contract manager. basically working purchase service contracts various units divisions anywhere children family service group homes, home care agencies, board lodge programs, assisted living programs, chemical dependency treatment programs, mental_health centers. wide variety experiences within service areas. april 2000. ",1194
"10","doc 24","april 2000 decided needed change. needed experience, became adult foster care licenser. adult foster care licenser two half years, based encouragement received one two supervisors within department going succession plan, iconic adult service supervisor managing mental_health chemical dependency services fifteen twenty years—she iconic within human services community duluth st. louis county. looking retirement. filled position vacant two_years, took chemical dependency adult protection common entry point, represented pay services, responsibilities kind evolved switched, since january 2003 supervising chemical dependency services.",898
