"","word1","word2","n","p","p1","p2","p_together"
"1","just","just",2117,0.00794380424545117,0.0159681922874017,0.0159681922874017,31.1542303105064
"2","like","like",1850,0.00694191679456054,0.0137292998957757,0.0137292998957757,36.8283804293535
"3","going","going",1579,0.00592501979384383,0.011696282666598,0.011696282666598,43.3105894735538
"4","people","people",1526,0.00572614325864831,0.0113102667370073,0.0113102667370073,44.7627247507199
"5","know","know",1462,0.00548599046143109,0.0114904075041497,0.0114904075041497,41.5512588616269
"6","really","really",1280,0.00480305594434459,0.00948312467027806,0.00948312467027806,53.4090342481053
"7","said","said",1075,0.00403381651575815,0.00819640490497574,0.00819640490497574,60.0439605161208
"8","time","time",1034,0.00387996863004086,0.0081706705096697,0.0081706705096697,58.1182888781628
"9","think","think",999,0.00374863506906269,0.00819640490497574,0.00819640490497574,55.7989921447486
"10","back","back",883,0.00331335812410646,0.00642073162885855,0.00642073162885855,80.3709947194568
"11","that","that",796,0.00298690041538929,0.00571303575794228,0.00571303575794228,91.5138567565397
"12","kind","kind",730,0.00273924284325902,0.00527555103773949,0.00527555103773949,98.4226100449957
"13","things","things",727,0.00272798568088947,0.00553289499079995,0.00553289499079995,89.1122133712104
"14","want","want",663,0.00248783288367224,0.00499247268937298,0.00499247268937298,99.8136203778387
"15","went","went",656,0.0024615661714766,0.00521121504947438,0.00521121504947438,90.6428441292389
"16","treatment","treatment",625,0.00234524216032451,0.00455498796917019,0.00455498796917019,113.035074376932
"17","well","well",597,0.00224017531154197,0.00451638637621112,0.00451638637621112,109.824650361344
"18","school","school",592,0.00222141337425937,0.00449065198090508,0.00449065198090508,110.156615480357
"19","work","work",545,0.00204505116380297,0.00405316726070229,0.00405316726070229,124.484456013105
"20","years","years",544,0.00204129877634645,0.00415610484192648,0.00415610484192648,118.177170129986
"21","something","something",544,0.00204129877634645,0.00405316726070229,0.00405316726070229,124.256044167209
"22","right","right",533,0.00200002251432474,0.00422044083019159,0.00422044083019159,112.284356065888
"23","come","come",510,0.0019137176028248,0.0036671513311116,0.0036671513311116,142.305009031525
"24","thing","thing",497,0.00186493656589005,0.00391162808651904,0.00391162808651904,121.884632620637
"25","started","started",490,0.00183866985369441,0.00379582330764183,0.00379582330764183,127.612077568582
"26","even","even",469,0.00175986971710751,0.0034998777616223,0.0034998777616223,143.672869496337
"27","little","little",456,0.00171108868017276,0.00325540100621486,0.00325540100621486,161.459473300631
"28","still","still",449,0.00168482196797713,0.00337120578509206,0.00337120578509206,148.246172551675
"29","home","home",433,0.00162478376867282,0.00331973699447997,0.00331973699447997,147.43079775995
"30","year","year",429,0.00160977421884674,0.00320393221560276,0.00320393221560276,156.818873251356
"31","much","much",423,0.00158725989410763,0.0031138618320316,0.0031138618320316,163.70025899876
"32","good","good",419,0.00157225034428155,0.00304952584376649,0.00304952584376649,169.06630537071
"33","didn","didn",415,0.00155724079445547,0.00329400259917393,0.00329400259917393,143.518503490165
"34","need","need",411,0.0015422312446294,0.00304952584376649,0.00304952584376649,165.838309086783
"35","house","house",390,0.00146343110804249,0.00292085386723625,0.00292085386723625,171.534951377024
"36","never","never",387,0.00145217394567293,0.00298518985550137,0.00298518985550137,162.95763996135
"37","always","always",384,0.00144091678330338,0.00306239304141951,0.00306239304141951,153.644508104172
"38","stuff","stuff",379,0.00142215484602078,0.00307526023907253,0.00307526023907253,150.377596505799
"39","talk","talk",371,0.00139213574636863,0.00274071310009393,0.00274071310009393,185.33371612193
"40","program","program",370,0.00138838335891211,0.00280504908835905,0.00280504908835905,176.452764946697
"41","first","first",357,0.00133960232197736,0.00263777551886975,0.00263777551886975,192.530804307197
"42","minnesota","minnesota",355,0.00133209754706432,0.00267637711182881,0.00267637711182881,185.969367607988
"43","around","around",354,0.0013283451596078,0.00257343953060463,0.00257343953060463,200.577863869574
"44","high","high",350,0.00131333560978172,0.00245763475172742,0.00245763475172742,217.440801873496
"45","addiction","addiction",343,0.00128706889758609,0.00258630672825765,0.00258630672825765,192.416245520756
"46","family","family",342,0.00128331651012957,0.00240616596111533,0.00240616596111533,221.657598726732
"47","yeah","yeah",337,0.00126455457284697,0.00298518985550137,0.00298518985550137,141.903681310013
"48","thought","thought",332,0.00124579263556438,0.00254770513529858,0.00254770513529858,191.93202009451
"49","there","there",331,0.00124204024810786,0.00245763475172742,0.00245763475172742,205.636872628935
"50","drug","drug",329,0.00123453547319482,0.0022774939845851,0.0022774939845851,238.006652608069
"51","life","life",325,0.00121952592336874,0.00256057233295161,0.00256057233295161,186.001711015435
"52","different","different",324,0.00121577353591222,0.00238043156580928,0.00238043156580928,214.556306574528
"53","kids","kids",322,0.00120826876099919,0.00249623634468649,0.00249623634468649,193.906399768712
"54","came","came",320,0.00120076398608615,0.00236756436815626,0.00236756436815626,214.217064357197
"55","using","using",320,0.00120076398608615,0.00241903315876835,0.00241903315876835,205.198419275613
"56","tell","tell",318,0.00119325921117311,0.00240616596111533,0.00240616596111533,206.102679517838
"57","three","three",315,0.00118200204880355,0.002226025193973,0.002226025193973,238.53827738422
"58","heroin","heroin",312,0.00117074488643399,0.00234182997285021,0.00234182997285021,213.477225202431
"59","getting","getting",308,0.00115573533660792,0.00214882200805487,0.00214882200805487,250.298072572318
"60","knew","knew",308,0.00115573533660792,0.00250910354233951,0.00250910354233951,183.578249729635
"61","person","person",301,0.00112946862441228,0.00230322837989114,0.00230322837989114,212.912012362487
"62","point","point",299,0.00112196384949924,0.00243190035642137,0.00243190035642137,189.708727563295
"63","make","make",297,0.00111445907458621,0.00204588442683068,0.00204588442683068,266.257550194631
"64","take","take",297,0.00111445907458621,0.00213595481040184,0.00213595481040184,244.275552564613
"65","wanted","wanted",293,0.00109944952476013,0.00220029079866696,0.00220029079866696,227.098952321552
"66","long","long",289,0.00108443997493405,0.00212308761274882,0.00212308761274882,240.58563097148
"67","anything","anything",281,0.0010544208752819,0.00223889239162603,0.00223889239162603,210.352440214249
"68","probably","probably",278,0.00104316371291234,0.0021102204150958,0.0021102204150958,234.259294456411
"69","called","called",278,0.00104316371291234,0.00199441563621859,0.00199441563621859,262.25340202704
"70","trying","trying",271,0.00101689700071671,0.00195581404325952,0.00195581404325952,265.840929096117
"71","health","health",271,0.00101689700071671,0.00182714206672929,0.00182714206672929,304.60170729204
