"","ID","sentences","nchar"
"1","doc 1","greg anderson narrator sullivan interviewer 2017 duluth minnesota greg anderson sullivan name greg anderson",140
"2","doc 2","social service supervisor saintlouis_county public health human services area chemical_dependency services",129
"3","doc 3","employed saintlouis_county twenty_four plus years",70
"4","doc 4","bachelor degree sociology minnesota state mankato",68
"5","doc 5","master degree social work university minnesota duluth",79
"6","doc 6","born extreme southeastern minnesota",44
"7","doc 7","grew farm outside mable minnesota forty miles south winona",85
"8","doc 8","went high_school graduated",41
"9","doc 10","born june 1956 give_permission record interview yeah just that cover bases",145
"10","doc 11","case attorney calls sometime grew farm outside mable minnesota went mankato years winona firsaintthen transferred mankato state okay",200
"11","doc 12","family history college education neither mother father",93
"12","doc 13","sister degrees sociology nursing parents encourage college absolutely",121
"13","doc 14","growing sixties early seventies small rural town basically industry",106
"14","doc 15","primary business industry farming",44
"15","doc 16","position really take",53
"16","doc 18","position carry family farm real clear",77
"17","doc 19","sister eight years older",38
"18","doc 20","gone went nursing school mankato state university",67
"19","doc 22","needed move person oriented person",61
"20","doc 23","handled calculus meteorologisaintthen went look mass communication journalism news broadcasting",140
"21","doc 25","realized handle egos present area work slipped sociology",103
"22","doc 26","degree spent three summers summer program director mable canton communities",112
"23","doc 27","strong love first love outside family baseball",64
"24","doc 28","spend time following working",57
"25","doc 29","kind that twin cities",52
"26","doc 30","1978 1987 married moved worked nursing homes",80
"27","doc 31","short time activity assistant activity director spent probably eight years social service director",122
"28","doc 32","basically coordinated admissions discharged planning addressing psychosocial needs nursing home residents nursing home",136
"29","doc 33","that wife moved",45
"30","doc 34","realized opportunities just sociology degree first graduating class members advanced generalist program missprogram university minnesota duluth",215
"31","doc 35","basically discontinued missprogram start program going advanced generalist generalist practice standard basic social work advanced education",211
"32","doc 36","really enlightening experience really unique school years class twenty something individuals basically worked gerontology",219
"33","doc 37","everybody else children family services",43
"34","doc 38","three individuals dealing chemical_dependency substance disorder type things",114
"35","doc 39","interest time continued geriatric elderly assisting supporting individuals going aging process",128
"36","doc 40","able assist support families",54
"37","doc 41","aging process evolving process grieving transition",84
"38","doc 42","transition lose certain skills certain access stages life able deal next phase life",163
"39","doc 43","gets older currently even realization understanding witnessed experienced early years school",164
"40","doc 44","done internship children family service time saintlouis_county social services",116
"41","doc 45","able internship county nursing home",57
"42","doc 47","later hired child protection worker",44
"43","doc 48","commuted year_half hibbing minnesota",57
"44","doc 49","hundred forty four mile trip work",61
"45","doc 50","eighteen months first child born opportunity work state minnesota minnesota veteran home silver just opened",194
"46","doc 51","spent year working admission coordination",54
"47","doc 52","relationship discharge unclear",54
"48","doc 53","basically kind last phase life veterans veterans spouses meantime program also looking adding alzheimer dementia unit program year",212
"49","doc 54","starting train staff looked opening additional forty beds unit alzheimer group able return duluth chris jenson county nursing home discharge planner chris jensen adding role rehab unit",286
"50","doc 55","internship experience established nice relationships nursing home happy bring board",140
"51","doc 56","spent half_years nursing home",48
"52","doc 57","came realization loved work duluth saintlouis_county social services going employer probably rest professional career",165
"53","doc 58","needed come government service center established",86
"54","doc 60","spent four plus years contract manager",43
"55","doc 61","basically working purchase service contracts various units divisions anywhere children family service group homes home care agencies board lodge programissassisted living programisschemical_dependency treatment programissmental_health centers",267
"56","doc 62","wide variety experiences within service areas",67
"57","doc 63","april 2000 april 2000 decided needed change",77
"58","doc 64","needed experience became adult foster care licenser",75
"59","doc 65","adult foster care licenser half_years based encouragement received supervisors within department going succession plan iconic adult service supervisor managing mental_health chemical_dependency services fifteen twenty years iconic within human services community duluth saintlouis_county",446
"60","doc 67","filled position vacant years took chemical_dependency adult protection common entry point represented services responsibilities kind evolved switched since january 2003 supervising chemical_dependency services first twelve years just supervising services south saintlouis_county ended restructuring time",438
"61","doc 68","took supervision saintlouis_county both north south",71
"62","doc 69","rule assessors three different offices",48
"63","doc 70","also special project generated county board commitment support find resolutions opioid epidemic",156
"64","doc 71","directing overseeing substance_abuse prevention intervention initiatives since probably april 2014 observed opioid crisis dealing substance_abuse professionally since 2003 decade plus experience seeing happening community",336
"65","doc 72","witnessed coming 2003 primary substance choice alcohol",90
"66","doc 74","cycles trends changed",57
"67","doc 75","later 2000s maybe starting 2006 2007 incredible upswing methamphetamine",102
"68","doc 76","basically dealing different fronts",59
"69","doc 77","effect individuals family also public health crisis dealing manufacturing",161
"70","doc 78","money resources",53
"71","doc 79","actually worked collaboration children family services unit financial assistance unit working setting shared family program basically mothers parents dealing substance placed adult foster home actually dually licensed foster home parent child placed together assist support initial phases recovery process",475
"72","doc 80","barriers place state perspective regards funding",73
"73","doc 81","funding adults residential services called group state residential housing program significant effects minnesota family investment program mfip",184
"74","doc 82","using impacts others great detail right memory kind faded",112
"75","doc 83","operated three years continuing barriers regards getting appropriate level funding getting families accept needing done financial assistance standpoint trying parents recovery children order children away them supervised caregiver adult yeah",444
"76","doc 84","monitoring mentoring types able coordinate different funding streams order make work imagined frustrating",192
"77","doc 85","actually come position ongoing discussions past regarding trying parents dealing mental illness",167
"78","doc 87","barriers regards funding streamissthe state worked hard trying things place relationship efforts reduce homelessness provide permanent support housing services",227
"79","doc 88","sure things changed",57
"80","doc 89","really taken look",38
"81","doc 90","recent times looking projects relationship harm_reduction chronic inebriates face long_term homelessness",141
"82","doc 91","program called marco basically project modeled several communities within state minnesota also throughout country",192
"83","doc 92","center alcohol_drug treatment_center city housing players",86
"84","doc 93","saintlouis_county public health human services provided supportive role development",96
"85","doc 94","worked assistance utilizing group residential housing financial assistance benefit provide funding individuals meeting characteristics",166
"86","doc 95","matter fact year anniversary opening june 22nd",84
"87","doc 96","alcohol consumption call house might extreme common term",113
"88","doc 97","kind shifted house supportive housing chronic inebriates",85
"89","doc 98","just another example collaboration commitment community address",104
"90","doc 99","wish still made think years opening called there losers telling story",144
"91","doc 101","find office",46
"92","doc 102","enforcement real want cynical real concerns putting together basically moving statement police chief regards program done individuals residing there positive impact city community harm_reduction model",395
"93","doc 103","walk office building look block marco",99
"94","doc 106","thirty board watch component inebriates forty single room units individuals",115
"95","doc 107","basically geared human development center community mental_health center they provide supportive services individuals center alcohol_drug treatment provides services individuals board watch back meth crisis tried housing situation then resources allocated",427
"96","doc 108","enhanced services children family services provide support direction intervention families afflicted issue",152
"97","doc 109","things kind well least standpoint things fell wayside period time think biggest thing enforcement standpoint able focus reduce ever totally eliminate greatly reduce labs community houses duluth yeah",322
"98","doc 110","duluth rural duluth heard rural areas actually city yeah",126
"99","doc 111","think least three four instances homes duluth",81
"100","doc 112","basically necessarily lower income areas occurring",77
"101","doc 113","boundaries relationship income yeah myth busted right really coming back",124
"102","doc 115","things really slowed probably guessing 2010 2011",69
"103","doc 117","dealing issues things really coming light things really becoming noticeable 2011 2012",121
"104","doc 118","late 2012 commissioner department human services came duluth community leaders believe police chief part panel presentation want lucinda jesson department human services commissioner time",289
"105","doc 119","long story short came discussing state direction together implement substance state plan address substance came saintpaul came saintpaul",220
"106","doc 120","believe been think minnesota department health think another state department along chief police time gordon ramsey",176
"107","doc 121","excited taking place",42
"108","doc 122","attended session along adult service division director mark nelson",81
"109","doc 123","time north saintlouis_county supervisor mike unclear also attendance professor university duluth school pharmacy mark sneiderhan center alcohol_drug treatment gary olson",252
"110","doc 125","beth bilden essentia point saintmary duluth clinic",72
"111","doc 126","treatment providers there group started talking session discussion series meetings basically first step development opioid abuse response strategies work group",249
"112","doc 127","overview seen impact saintlouis_county 2012 still there right yeah",111
"113","doc 128","point time primary concern focused prescription opioids",77
"114","doc 129","conversations came reviews discussions time went basically came greater monitoring control prescription medications",151
"115","doc 130","longer easily accessed entrepreneurship others reflecting back supply demand basically said prescription medications something need able provide price good affordable",308
"116","doc 131","started swing shift heroin second page references appearance oars opioid abuse response strategies members basically first substance_abuse prevention intervention initiative team member marsha gertel",269
"117","doc 132","interviewed almanac north",36
"118","doc 133","almanac north spin almanac channel twin cities",70
"119","doc 134","basically questions posed kind went",75
"120","doc 135","major heroin bust think before date almanac north good friday 2014",115
"121","doc 136","major heroin bust either wednesday thursday week based channel called dana kazel communication manager wanting response saintlouis_county relationship",234
"122","doc 137","department contacted",41
"123","doc 138","adult service division director unable attend basically went marsha gertel interview hosaintof program oars group basically ended discussions leading proposal together then think late 2000s public health department social service department merged public health human services",407
"124","doc 139","public health human services department proposed county commissioner developing substance prevention intervention initiative",149
"125","doc 140","unanimous vote january 2014 basically approved allocation four provide prevention intervention services throughout saintlouis_county address issues relating substance_abuse latest draft pamphlet brochure",266
"126","doc 142","shows pamphlet basically gives description relationship assisting supporting individuals families communities throughout saintlouis_county",191
"127","doc 143","things public education trainings consultations within department family members others calling concerned wanting direction ideas people reach oars basically extension oars",257
"128","doc 144","oars program founded",49
