"","sentence_id","id","sentence","nchar","doc_id","description","family_experience","treatment_prof","personal_experience"
"1","1",1,"Greg Anderson Narrator Amy Sullivan Interviewer May Duluth Minnesota Greg Anderson Amy Sullivan","95","Anderson_Greg","Social worker",NA,TRUE,NA
"2","1",2,"Dr. Thilo Beck Narrator Amy Sullivan Interviewer February Zurich Switzerland Thilo Beck Andrew Tuttle Amy Sullivan","114","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"3","2",1,"name Greg Anderson","18","Anderson_Greg","Social worker",NA,TRUE,NA
"4","2",2,"think put short much pragmatic approach","39","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"5","3",1,"Social Service Supervisor St. Louis County Public Health Human Services area Chemical Dependency Services","105","Anderson_Greg","Social worker",NA,TRUE,NA
"6","3",2,"Pragmatism view way harm reduction approach","43","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"7","4",1,"employed St. Louis County years","31","Anderson_Greg","Social worker",NA,TRUE,NA
"8","4",2,"ask useful best possible aim goal","33","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"9","5",1,"bachelor degree sociology Minnesota State Mankato","49","Anderson_Greg","Social worker",NA,TRUE,NA
"10","5",2,"think much therapeutic illusions fantasies common medication therapy","68","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"11","6",1,"master degree social work University Minnesota Duluth","53","Anderson_Greg","Social worker",NA,TRUE,NA
"12","6",2,"Focusing abstinence considering majority patients treating abstinence moment","76","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"13","7",1,"born extreme southeastern Minnesota","35","Anderson_Greg","Social worker",NA,TRUE,NA
"14","7",2,"respected","9","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"15","8",1,"grew farm Mable Minnesota mile south Winona","43","Anderson_Greg","Social worker",NA,TRUE,NA
"16","8",2,"mean","4","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"17","9",1,"high school graduated","21","Anderson_Greg","Social worker",NA,TRUE,NA
"18","9",2,"substance","9","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"19","10",1,"already described college life","30","Anderson_Greg","Social worker",NA,TRUE,NA
"20","10",2,"substances","10","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"21","11",1,"born June","9","Anderson_Greg","Social worker",NA,TRUE,NA
"22","11",2,"abused substance alcohol","24","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"23","12",1,"give permission record interview","32","Anderson_Greg","Social worker",NA,TRUE,NA
"24","12",2,"think problems alcohol therapy","30","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"25","13",2,"Historically based abstinence work well","39","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"26","14",1,"just say","8","Anderson_Greg","Social worker",NA,TRUE,NA
"27","14",2,"successful","10","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"28","15",1,"bases","5","Anderson_Greg","Social worker",NA,TRUE,NA
"29","15",2,"patients say majority want abstain alcohol","42","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"30","16",1,"case attorney calls sometime","28","Anderson_Greg","Social worker",NA,TRUE,NA
"31","16",2,"rather thinking reduction using controlled way","46","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"32","17",1,"grew farm Mable Minnesota Mankato","33","Anderson_Greg","Social worker",NA,TRUE,NA
"33","17",2,"reasonable goal patients","24","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"34","18",1,"years Winona first transferred Mankato State","44","Anderson_Greg","Social worker",NA,TRUE,NA
"35","18",2,"resonate","8","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"36","19",1,"okay","4","Anderson_Greg","Social worker",NA,TRUE,NA
"37","19",2,"old pattern addiction therapy push patients abstinence","54","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"38","20",1,"family history college education","32","Anderson_Greg","Social worker",NA,TRUE,NA
"39","20",2,"Make think want abstinence","26","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"40","21",1,"mother father","13","Anderson_Greg","Social worker",NA,TRUE,NA
"41","21",2,"brainwash","9","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"42","22",1,"sister degrees sociology nursing","32","Anderson_Greg","Social worker",NA,TRUE,NA
"43","22",2,"society moral thing way","23","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"44","23",1,"parents encourage college","25","Anderson_Greg","Social worker",NA,TRUE,NA
"45","23",2,"Abstinence good substance use evil","34","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"46","24",1,"Absolutely","10","Anderson_Greg","Social worker",NA,TRUE,NA
"47","24",2,"wiped","5","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"48","25",1,"Growing sixties early seventies small rural town basically lot industry","71","Anderson_Greg","Social worker",NA,TRUE,NA
"49","25",2,"fantasies substance free societies","34","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"50","26",1,"primary business industry farming","33","Anderson_Greg","Social worker",NA,TRUE,NA
"51","26",2,"illusion","8","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"52","27",1,"position really take doo doo","28","Anderson_Greg","Social worker",NA,TRUE,NA
"53","27",2,"ruse","4","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"54","28",1,"Allergies things","16","Anderson_Greg","Social worker",NA,TRUE,NA
"55","28",2,"people handle substances people","31","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"56","29",1,"position carry family farm real clear","37","Anderson_Greg","Social worker",NA,TRUE,NA
"57","29",2,"thing","5","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"58","30",1,"sister years older","18","Anderson_Greg","Social worker",NA,TRUE,NA
"59","30",2,"political discussions try get politicians still think substances dangerous true","79","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"60","31",1,"nursing school Mankato State University","39","Anderson_Greg","Social worker",NA,TRUE,NA
"61","31",2,"know provocative thing say","26","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"62","32",2,"majority people use substance controlled way","44","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"63","33",1,"Needed move person oriented person","34","Anderson_Greg","Social worker",NA,TRUE,NA
"64","33",2,"case heroin unknown","19","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"65","34",1,"handled meteorologist","21","Anderson_Greg","Social worker",NA,TRUE,NA
"66","34",2,"people think heroin dangerous use hooked","40","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"67","35",1,"look mass communication journalism news broadcasting","52","Anderson_Greg","Social worker",NA,TRUE,NA
"68","35",2,"true","4","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"69","36",1,"Spent time","10","Anderson_Greg","Social worker",NA,TRUE,NA
