"","ID","paragraphs","nchar"
"1","doc 9","ga: my name is greg anderson. i am the social service supervisor for st. louis county public health human services in the area of chemical dependency services. i have been employed with st. louis county for twenty-four plus years. i have a bachelor's degree in sociology from minnesota state mankato. i have a master's degree in social work from the university of minnesota duluth. i was born in extreme southeastern minnesota. i grew up on a farm outside of mable, minnesota, which is forty miles south of winona. went to high school, graduated from there. i already described my college life. i was born in june of 1956. ",623
"2","doc 13","ga: cover the bases. in case my attorney calls sometime. ",57
"3","doc 15","ga: two years in winona first, then transferred to mankato state. ",66
"4","doc 17","ga: neither my mother or father does. my sister had degrees in both sociology and nursing. ",91
"5","doc 19","ga: absolutely. growing up in the sixties, early seventies in a small, rural town basically there wasn't a lot of industry. the primary business or industry was farming. i was not in a position to really take on the doo-doo. allergies and other things. i wasn't in a position to carry on with the family farm, so it was real clear. my sister was eight years older than i. she had gone and went to nursing school at mankato state university. that was that. needed to move on, and i was more of a person-oriented person. if i could have handled calculus i would have been a meteorologist. then i went to look at mass communication journalism, news broadcasting. spent some time there. realized i couldn't handle the egos that were present in that area of work, so i slipped into sociology. got my ba degree and spent three summers as the summer rec program director for the mable and canton communities. had this strong love—my first love outside of family is baseball. i spend a lot of time following that when i'm not working. that's kind of that. ",1048
"6","doc 20","that got me to the twin cities. from 1978 to 1987 when i got married and moved up here i worked in nursing homes. i was a short-time activity assistant, activity director, and then spent probably eight years as a social service director. basically coordinated admissions, discharged planning, addressing psychosocial needs of nursing home residents while in the nursing home. ",376
"7","doc 21","did that, then met my wife and moved up here. realized i didn't have a lot of job opportunities with just a sociology degree, so i was one of the first graduating class members of—the advanced generalist program—msw program—at the university of minnesota duluth. umd had basically discontinued their msw program, and this was the start up of a new program going more into advanced generalist or generalist practice of doing standard basic social work with advanced education. it was a really enlightening experience for me, and it was really unique because in school for the two years in our class of about twenty something individuals i was basically the only one that had worked in gerontology. everybody else was children/family services. there were two or three individuals that were dealing with chemical dependency, substance use disorder type things. my interest at the time continued to be geriatric, elderly, assisting and supporting individuals going through the aging process. being able to assist and support them and the families. the aging process is an evolving process of grieving because as we age we transition. when we transition we lose certain skills and/or certain access or stages of life, and we have to be able to deal with that and then go into the next phase of life. as one gets older, as i currently am, even having more realization and understanding what i witnessed and experienced in the early years. ",1433
"8","doc 22","got through school at umd. had done an internship here at children and family service, which at that time was st. louis county social services. i was able to do an internship at the county nursing home. finished that. was later hired as a child protection worker. commuted for over a year and a half to hibbing, minnesota. so it was a hundred and forty-four mile trip each day to work. after about eighteen months of doing that our first child was born and i had the opportunity to work for the state of minnesota at the minnesota veteran's home in silver bay that had just opened. i spent a year there working on admission coordination. it wasn't a lot in relationship to discharge [unclear]. basically it was kind of a last phase of life for veterans and veterans' spouses, and in the meantime the program was also looking at adding an alzheimer's or dementia unit to the program. ",883
"9","doc 23","i was there for a year. we were starting to train staff as we looked at opening the additional forty beds in the unit for an alzheimer's group, but then i was able to return to duluth and get a job at chris jenson county nursing home as a discharge planner as chris jensen was adding a new role in a rehab unit. with my internship and experience i had established nice relationships in the nursing home, and so they were very happy to bring me on board. i spent two and a half years at the nursing home. came to the realization—i loved the work—but duluth and st. louis county social services was going to be my employer probably for the rest of my professional career. i needed to come down to the government service center and get myself established here. i came down in 1995. spent four plus years as a contract manager. basically working on purchase of service contracts for various units and divisions anywhere from children family service group homes, home care agencies, board and lodge programs, assisted living programs, chemical dependency treatment programs, mental health centers. i had a very wide variety of experiences within those service areas. i did that until april of 2000. ",1194
"10","doc 24","in april of 2000 i decided i needed a change. i needed to have more experience, so i became an adult foster care licenser. i was an adult foster care licenser for over two and a half years, and then based on some encouragement i had received from one or two supervisors within the department we were going through a succession plan, we had an iconic adult service supervisor who had been managing both mental health and chemical dependency services for fifteen to twenty years—she was very iconic within the human services community here in duluth and st. louis county. she was looking at retirement. i filled a position that had been vacant for two years, so i took on chemical dependency adult protection common entry point, and represented pay services, and my responsibilities have kind of evolved and switched, and so since january of 2003 i have been supervising chemical dependency services.",898
"11","doc 25","for the first twelve years i was just supervising services in south st. louis county, and we ended up doing some restructuring at that time. i took on supervision for all of st. louis county—both north and south. got rule 25 assessors in three different offices. we also have a special project, which has been generated through the county board's commitment to support and try to find resolutions to the opioid epidemic. i have been directing and overseeing substance abuse prevention, intervention initiatives since probably april of 2014. ",541
"12","doc 29","ga: coming in in 2003 the primary substance of choice was alcohol. alcohol is still seen as number one. there have been a few cycles and trends that have changed. we get into the later 2000s, maybe starting 2006, 2007 we had an incredible upswing in methamphetamine. we were basically dealing with that on two different fronts. not only the effect it was having on the individuals and family through the use, but also the public health crisis we were dealing with through the manufacturing. a lot of money, a lot of resources were put into that. we actually worked through a collaboration through children and family services unit and through our financial assistance unit we were working on setting up a shared family program where basically mothers and/or parents dealing with substance use would be placed into an adult foster home, or actually it would end up being a dually licensed foster home where a parent and child could be placed together to assist and support during the initial phases of the recovery process. a lot of barriers in place from a state perspective in regards to funding. funding for adults, for residential services through what is called the group state residential housing program has significant effects on the minnesota family investment program, mfip. so using 1) has impacts on others, and i can't get into great detail right now because my memory's kind of faded. we operated it for about two to three years, but there were continuing barriers in regards to getting the appropriate level of funding and getting families to accept what was needing to be done from a financial assistance standpoint. ",1632
"13","doc 31","ga: yeah. monitoring, mentoring, those types of—",48
"14","doc 33","ga: it got to be very frustrating. we had actually before i had come into this position there had been ongoing discussions in the past regarding trying to do this for parents dealing with mental illness. this was a continuation. there were some barriers in regards to the funding streams. the state has worked very hard in trying to get things in place in relationship to the efforts to reduce homelessness and provide permanent support of housing services. i'm not sure if some of those things may have now changed. we haven't really taken a look at that. in recent times we've been looking at other projects in relationship to harm reduction for chronic inebriates who face long-term homelessness. we have a program called the san marco, which was basically a project that has been modeled in several other communities not only within the state of minnesota, but also throughout the country. center for alcohol and drug treatment and center city housing were key players in that. st. louis county public health and human services provided a supportive role in the development. we worked with assistance in utilizing a group residential housing financial assistance benefit to provide funding for those individuals meeting those characteristics. as a matter of fact we're having a ten-year anniversary of it's opening on june 22nd. alcohol consumption is not a—",1362
"15","doc 35","ga: that's a common term. we've kind of shifted from a wet house to a supportive housing for chronic inebriates. that's just another example of what the collaboration and commitment of a community can do to address it. i wish i still had a dvd—a dvd was made i think two years after the opening—and it's called ""there are no losers,"" and it's a very telling story. they bring tears to some. i'll have to see if i can find it in my office. law enforcement was real, i don't want to say cynical, but they had some real concerns about putting this together, and basically the end of the dvd is a very moving statement by our then police chief in regards to the program and what it has done not only for the individuals residing there, but for the positive impact on the city and community. ",787
"16","doc 37","ga: it is. when you walk out of our office, our building, if you look one block over and up san marco is there. it is 230 west 3rd street. it actually has seventy units. thirty is the board and watch component for the inebriates, and we have forty single room sro units for individuals. basically the sro is geared—we have our human development center which is a community mental health center—they provide supportive services for individuals in the sro in the center for alcohol and drug treatment provides the services for the individuals in the board watch. ",561
"17","doc 39","ga: there were a lot of resources being allocated for this. there were enhanced services for children or family services to provide support, direction, and intervention for those families afflicted with the issue. things kind of, well at least from our standpoint, things fell to the wayside for a period of time, and i think the biggest thing was from a law enforcement standpoint being able to focus and reduce, and not ever totally eliminate, but greatly reduce the labs in the community. ",492
"18","doc 41","ga: yeah. they were in duluth, rural duluth—",44
"19","doc 43","ga: yeah. i can think of at least three or four instances of those being in homes in duluth. basically it wasn't necessarily in lower income areas that this was occurring. it had no boundaries in relationship to income. ",220
"20","doc 45","ga: it's really coming back. meth is also very, very prevalent. but, things really slowed down probably, and i'm guessing, 2010, 2011. we're just kind of going along. we were dealing with issues, but things were really coming to light, things were really becoming noticeable in 2011, 2012. in late 2012 the then commissioner of the department of human services came up to duluth with community leaders, i believe our police chief was a part of this panel and presentation, but i want to say it was lucinda jesson who was the department of human services commissioner at that time. long story short she came in and she was discussing the state's direction to put together and implement a substance use state plan to address substance use. ",738
"21","doc 47","ga: she came up from st. paul. i believe there may have been—i think the minnesota department of health and i think another state department was there along with our chief of police at the time gordon ramsey. we were excited that this was taking place. i attended the session along with our adult service division director mark nelson. at the time our north st. louis county mcd supervisor mike [unclear], and we also had in attendance a professor from the university of duluth's school of pharmacy mark sneiderhan, and the ceo of the center for alcohol and drug treatment gary olson, dr. faris keeling, and dr. beth bilden from essentia—at that point it was st. mary's duluth clinic. we had some other treatment providers there, but this group started talking after the session, and that discussion led to a series of meetings, which basically was the first step for the development of our opioid abuse response strategies work group. that's an overview. ",956
"22","doc 49","ga: yeah. at that point in time the primary concern was focused on prescription opioids. as conversations came about reviews, discussions, as time went on basically there came to be greater monitoring and control of prescription medications. when those were no longer easily accessed, the entrepreneurship of others reflecting back on supply and demand basically said they can't have prescription medications, but we have something that will fit their need and we will be able to provide it at a price that will be good for us and affordable for them. that started to swing or shift into heroin. ",596
"23","doc 50","the second page of this references an appearance of two oars [opioid abuse response strategies] members, which was basically myself and our first substance abuse prevention intervention initiative team member [marsha gertel]. we were interviewed on almanac north. almanac north is a spin-off of almanac on channel 2 in the twin cities. basically those questions were posed to us and we kind of went through them. there had been a major heroin bust i think the day before—the date we were on almanac north was good friday of 2014. there was a major heroin bust either wednesday or thursday of that week, and based on that channel 8 had called dana kazel, the communication manager, and was wanting to get some response from st. louis county in relationship to this. through that our department was contacted. our adult service division director was unable to attend, so basically it went to myself and [marsha gertel] and we did the interview with two hosts of the program.",972
"24","doc 51","the oars group basically ended up having discussions and leading up to a proposal put together through our then—i think it was late 2000s—our public health department and social service department merged into public health and human services. our public health and human services department proposed to the county commissioner's developing our substance use prevention intervention initiative. through a unanimous vote in january 2014 they basically approved the allocation of four fte's to provide prevention/intervention services throughout st. louis county to address issues relating to substance abuse. ",607
"25","doc 52","that's our latest draft of our pamphlet or brochure. as you can tell—yeah. [shows the pamphlet] so, that basically gives you the description of what we do in relationship to assisting and supporting individuals, families, and communities throughout st. louis county. we will do things from public education, trainings, we'll do consultations within a department and family members or others that are calling and concerned and wanting direction or ideas.",453
"26","doc 54","ga: we're basically an extension of oars. it was through oars that this program was founded. oars came first. ",110
"27","doc 56","ga: i think that's very fair. that's basically what we are looking at. ",71
"28","doc 58","ga: yeah. we are doing a lot of our focus on the opioid piece. we do what is called expedited rule 25 assessments for children and family services. we have an incredibly high rate of out of home placement. kids in foster care or other licensed facilities and programs related to parental substance use. we have a parent or parents that come in who are at risk of losing their children. they are in borderline crisis or in crisis. if they are willing and wanting we'll do the assessment, oftentimes right then if one of our workers is available, either [matt johnson] or [marsha gertel]. we also have a social worker in north st. louis county. he's based in hibbing, but we'll be able to go and if not exactly that day then the next day. it happens very quickly. ",762
"29","doc 59","let me see if i can find [rustling through papers]. minnesota department of health has put together some annual—i can probably forward you through the minnesota department of health—it's basically data, statistics on overdoses in minnesota. it does a county breakdown. i have basically broken things down for st. louis county through 2015. the 2016 statistics should be coming out at any point, but we are up to through 2015 right now. you can take a look at the overdoses related to opioids. this is based on admissions to licensed chemical dependency treatment programs. it's not necessarily dealing with individuals, but admissions. ",636
"30","doc 61","ga: yeah, as you well know from personal experience. ",53
"31","doc 63","ga: i don't know if it is something in the drinking water. i mean it's something that i witnessed when i first came to the community in 1987, and there is just something here that is just part of the culture and the value of being able to work together and support each other even though we may not agree on other various items or values in life. when we have a common purpose or see a problem that needs to be solved we can push our differences aside to work jointly and in a collaborative fashion. we submitted a grant proposal to the department of human services for approximately 1.3 million dollars for the state targeted response to the opioid crisis. the state of minnesota received 5.3 million dollars for 2017 and 2018 through legislation that was pushed and supported very hard by senator [amy] klobuchar to address the opioid crisis for rural communities. ",867
"32","doc 65","ga: yeah. 5.3 million. ",23
"33","doc 67","ga: yeah. i'll see if i can send you a powerpoint and some handouts that will give you even more information. ",110
"34","doc 69","ga: we submitted that on april 28th [2017]. st. louis county public health human service submitted a proposal as the lead partner in a consortium with duluth police department, lake superior drug and violent crime task force, rural aids action network, center for alcohol and drug treatment, university of minnesota duluth school of pharmacy, six judicial district drug courts, and carleton county public health and human service.",430
