"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","use","just","many","years","way","harm","really","intervention","now","good","health","program","process","take","chemical","state","working","county","support","time"
"2","alcohol","substances","know","work","people","reduction","get","prevention","right","come","human","individuals","patient","crisis","dependency","family","home","st","provide","job"
"3","drug","addiction","heroin","duluth","make","possible","things","detox","approach","abstinence","public","dealing","try","better","programs","minnesota","life","louis","trying","point"
"4","substance","education","things","social","help","person","see","substance","much","treatment","service","relationship","well","say","treatment","put","first","duluth","place","came"
"5","center","community","well","thing","come","individual","place","need","therapy","addiction","department","basically","got","want","still","lot","able","also","need","try"
"6","patients","heroin","kind","first","just","see","patients","social","think","center","services","also","problem","patients","point","group","work","thing","able","want"
"7","much","use","think","job","put","help","dependency","basically","kind","think","community","years","individual","thing","group","services","came","social","problem","got"
"8","provide","put","right","minnesota","therapy","put","better","education","still","say","state","kind","people","got","put","trying","time","group","individuals","think"
"9","still","therapy","able","service","job","therapy","chemical","department","get","approach","basically","individual","therapy","lot","therapy","programs","get","education","patients","family"
"10","community","job","put","community","better","job","put","relationship","treatment","put","st","put","person","community","job","came","just","detox","put","put"
"11","put","better","therapy","individuals","possible","better","therapy","put","put","therapy","county","therapy","much","dealing","better","therapy","support","minnesota","therapy","therapy"
"12","therapy","possible","job","put","prevention","prevention","job","therapy","job","job","put","job","time","basically","possible","job","group","program","job","better"
"13","job","prevention","better","therapy","life","life","possible","job","better","better","therapy","better","abstinence","put","prevention","better","individual","put","better","possible"
"14","better","life","possible","better","programs","programs","prevention","better","possible","possible","job","possible","put","therapy","life","possible","put","therapy","possible","prevention"
"15","possible","programs","prevention","possible","person","came","life","possible","prevention","prevention","better","prevention","job","job","person","prevention","therapy","job","prevention","life"
"16","prevention","person","life","prevention","came","problem","programs","life","life","life","possible","life","better","possible","came","life","job","better","life","programs"
"17","life","came","programs","life","problem","patient","person","programs","programs","programs","prevention","programs","possible","prevention","problem","person","better","possible","programs","person"
"18","programs","problem","person","programs","patient","abstinence","came","person","person","person","life","person","prevention","life","patient","problem","possible","prevention","person","problem"
"19","person","patient","came","person","abstinence","know","problem","came","came","came","programs","came","life","programs","abstinence","patient","prevention","life","came","patient"
"20","came","abstinence","problem","came","know","education","patient","problem","problem","problem","person","problem","programs","person","know","abstinence","programs","programs","patient","abstinence"
"21","problem","know","patient","problem","education","detox","abstinence","patient","patient","patient","came","patient","came","came","education","know","person","person","abstinence","know"
"22","patient","detox","abstinence","patient","detox","heroin","know","abstinence","abstinence","know","problem","abstinence","know","problem","detox","education","problem","came","know","education"
"23","abstinence","take","education","abstinence","heroin","take","education","know","know","education","patient","know","education","patient","heroin","detox","patient","problem","education","detox"
"24","know","help","detox","know","take","kind","detox","heroin","education","detox","abstinence","education","detox","abstinence","take","heroin","abstinence","patient","detox","heroin"
"25","education","kind","take","education","kind","support","heroin","take","detox","heroin","know","detox","heroin","know","help","take","know","abstinence","heroin","take"
"26","detox","support","help","detox","support","relationship","take","help","heroin","take","education","heroin","take","education","kind","help","education","know","take","help"
"27","heroin","relationship","support","heroin","relationship","substances","help","kind","take","help","detox","take","help","detox","support","kind","detox","heroin","help","kind"
"28","take","crisis","relationship","take","substances","crisis","kind","support","help","kind","heroin","help","kind","heroin","relationship","support","heroin","take","kind","support"
"29","help","many","substances","help","crisis","many","support","substances","support","support","take","support","support","help","substances","relationship","take","help","relationship","relationship"
"30","kind","home","crisis","kind","many","home","relationship","crisis","relationship","relationship","help","substances","relationship","kind","crisis","substances","help","kind","substances","substances"
